ablation,sample_size,replicate,seed,full_tv_error,ablated_tv_error,full_better,invalid_category,full_invalid_mass,ablated_invalid_mass,full_invalid_top1,ablated_invalid_top1
A2_remove_industry_prior,1,58,11787,0.1862289562289563,0.2823232323232323,True,,,,,
A4_remove_hierarchical_pooling,1,58,11787,0.1862289562289563,0.9,True,,,,,
A2_remove_industry_prior,1,59,11788,0.31242424242424244,0.31262626262626264,True,,,,,
A4_remove_hierarchical_pooling,1,59,11788,0.31242424242424244,0.8200000000000001,True,,,,,
A2_remove_industry_prior,1,60,11789,0.10791245791245797,0.20151515151515154,True,,,,,
A4_remove_hierarchical_pooling,1,60,11789,0.10791245791245797,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,61,11790,0.06750841750841753,0.25202020202020203,True,,,,,
A4_remove_hierarchical_pooling,1,61,11790,0.06750841750841753,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,62,11791,0.13050505050505057,0.21565656565656569,True,,,,,
A4_remove_hierarchical_pooling,1,62,11791,0.13050505050505057,0.83,True,,,,,
A2_remove_industry_prior,1,63,11792,0.01531986531986538,0.21161616161616167,True,,,,,
A4_remove_hierarchical_pooling,1,63,11792,0.01531986531986538,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,64,11793,0.0725589225589226,0.2621212121212121,True,,,,,
A4_remove_hierarchical_pooling,1,64,11793,0.0725589225589226,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,65,11794,0.05067340067340066,0.151010101010101,True,,,,,
A4_remove_hierarchical_pooling,1,65,11794,0.05067340067340066,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,66,11795,0.09612794612794617,0.2318181818181818,True,,,,,
A4_remove_hierarchical_pooling,1,66,11795,0.09612794612794617,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,67,11796,0.13653198653198656,0.2654545454545455,True,,,,,
A4_remove_hierarchical_pooling,1,67,11796,0.13653198653198656,0.8200000000000001,True,,,,,
A2_remove_industry_prior,1,68,11797,0.10888888888888891,0.24191919191919187,True,,,,,
A4_remove_hierarchical_pooling,1,68,11797,0.10888888888888891,0.8200000000000001,True,,,,,
A2_remove_industry_prior,1,69,11798,0.05787878787878782,0.16444444444444448,True,,,,,
A4_remove_hierarchical_pooling,1,69,11798,0.05787878787878782,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,70,11799,0.08195286195286197,0.26212121212121214,True,,,,,
A4_remove_hierarchical_pooling,1,70,11799,0.08195286195286197,0.8200000000000001,True,,,,,
A2_remove_industry_prior,1,71,11800,0.04996632996632999,0.18131313131313137,True,,,,,
A4_remove_hierarchical_pooling,1,71,11800,0.04996632996632999,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,72,11801,0.025420875420875448,0.30252525252525253,True,,,,,
A4_remove_hierarchical_pooling,1,72,11801,0.025420875420875448,0.8200000000000001,True,,,,,
A2_remove_industry_prior,1,73,11802,0.06750841750841748,0.1651515151515152,True,,,,,
A4_remove_hierarchical_pooling,1,73,11802,0.06750841750841748,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,74,11803,0.13838383838383844,0.26212121212121214,True,,,,,
A4_remove_hierarchical_pooling,1,74,11803,0.13838383838383844,0.83,True,,,,,
A2_remove_industry_prior,1,75,11804,0.01666666666666663,0.23515151515151517,True,,,,,
A4_remove_hierarchical_pooling,1,75,11804,0.01666666666666663,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,76,11805,0.06787878787878787,0.17454545454545456,True,,,,,
A4_remove_hierarchical_pooling,1,76,11805,0.06787878787878787,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,77,11806,0.1247474747474748,0.2823232323232323,True,,,,,
A4_remove_hierarchical_pooling,1,77,11806,0.1247474747474748,0.83,True,,,,,
A2_remove_industry_prior,1,78,11807,0.16531986531986534,0.27555555555555555,True,,,,,
A4_remove_hierarchical_pooling,1,78,11807,0.16531986531986534,0.8200000000000001,True,,,,,
A2_remove_industry_prior,1,79,11808,0.13077441077441082,0.2823232323232323,True,,,,,
A4_remove_hierarchical_pooling,1,79,11808,0.13077441077441082,0.9,True,,,,,
A2_remove_industry_prior,1,80,11809,0.16932659932659938,0.3065656565656566,True,,,,,
A4_remove_hierarchical_pooling,1,80,11809,0.16932659932659938,0.8200000000000001,True,,,,,
A2_remove_industry_prior,1,81,11810,0.03232323232323232,0.17454545454545461,True,,,,,
A4_remove_hierarchical_pooling,1,81,11810,0.03232323232323232,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,82,11811,0.07303030303030304,0.21161616161616165,True,,,,,
A4_remove_hierarchical_pooling,1,82,11811,0.07303030303030304,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,83,11812,0.08851851851851858,0.20151515151515154,True,,,,,
A4_remove_hierarchical_pooling,1,83,11812,0.08851851851851858,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,84,11813,0.14750841750841753,0.3025252525252526,True,,,,,
A4_remove_hierarchical_pooling,1,84,11813,0.14750841750841753,0.83,True,,,,,
A2_remove_industry_prior,1,85,11814,0.0760942760942761,0.16111111111111112,True,,,,,
A4_remove_hierarchical_pooling,1,85,11814,0.0760942760942761,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,86,11815,0.14343434343434347,0.2957575757575758,True,,,,,
A4_remove_hierarchical_pooling,1,86,11815,0.14343434343434347,0.8200000000000001,True,,,,,
A2_remove_industry_prior,1,87,11816,0.07673400673400675,0.23181818181818184,True,,,,,
A4_remove_hierarchical_pooling,1,87,11816,0.07673400673400675,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,88,11817,0.08178451178451182,0.22575757575757577,True,,,,,
A4_remove_hierarchical_pooling,1,88,11817,0.08178451178451182,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,89,11818,0.1273063973063973,0.3429292929292929,True,,,,,
A4_remove_hierarchical_pooling,1,89,11818,0.1273063973063973,0.83,True,,,,,
A2_remove_industry_prior,1,90,11819,0.1440740740740741,0.27222222222222225,True,,,,,
A4_remove_hierarchical_pooling,1,90,11819,0.1440740740740741,0.8200000000000001,True,,,,,
A2_remove_industry_prior,1,91,11820,0.16010101010101013,0.33282828282828286,True,,,,,
A4_remove_hierarchical_pooling,1,91,11820,0.16010101010101013,0.83,True,,,,,
A2_remove_industry_prior,1,92,11821,0.12892255892255894,0.18464646464646473,True,,,,,
A4_remove_hierarchical_pooling,1,92,11821,0.12892255892255894,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,93,11822,0.09020202020202023,0.151010101010101,True,,,,,
A4_remove_hierarchical_pooling,1,93,11822,0.09020202020202023,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,94,11823,0.10552188552188554,0.24191919191919198,True,,,,,
A4_remove_hierarchical_pooling,1,94,11823,0.10552188552188554,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,95,11824,0.19457912457912463,0.33616161616161616,True,,,,,
A4_remove_hierarchical_pooling,1,95,11824,0.19457912457912463,0.8200000000000001,True,,,,,
A2_remove_industry_prior,1,96,11825,0.05154882154882155,0.17454545454545461,True,,,,,
A4_remove_hierarchical_pooling,1,96,11825,0.05154882154882155,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,97,11826,0.20138047138047138,0.33282828282828286,True,,,,,
A4_remove_hierarchical_pooling,1,97,11826,0.20138047138047138,0.83,True,,,,,
A2_remove_industry_prior,1,98,11827,0.156026936026936,0.3429292929292929,True,,,,,
A4_remove_hierarchical_pooling,1,98,11827,0.156026936026936,0.9,True,,,,,
A2_remove_industry_prior,1,99,11828,0.08353535353535355,0.2924242424242425,True,,,,,
A4_remove_hierarchical_pooling,1,99,11828,0.08353535353535355,0.9,True,,,,,
A2_remove_industry_prior,1,100,11829,0.12235690235690243,0.315959595959596,True,,,,,
A4_remove_hierarchical_pooling,1,100,11829,0.12235690235690243,0.9,True,,,,,
A2_remove_industry_prior,1,101,11830,0.07151515151515152,0.19474747474747478,True,,,,,
A4_remove_hierarchical_pooling,1,101,11830,0.07151515151515152,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,102,11831,0.037205387205387276,0.3328282828282828,True,,,,,
A4_remove_hierarchical_pooling,1,102,11831,0.037205387205387276,0.83,True,,,,,
A2_remove_industry_prior,1,103,11832,0.09195286195286198,0.2553535353535354,True,,,,,
A4_remove_hierarchical_pooling,1,103,11832,0.09195286195286198,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,104,11833,0.0851515151515152,0.18464646464646467,True,,,,,
A4_remove_hierarchical_pooling,1,104,11833,0.0851515151515152,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,105,11834,0.07777777777777778,0.26212121212121214,True,,,,,
A4_remove_hierarchical_pooling,1,105,11834,0.07777777777777778,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,106,11835,0.19225589225589226,0.24525252525252528,True,,,,,
A4_remove_hierarchical_pooling,1,106,11835,0.19225589225589226,0.9,True,,,,,
A2_remove_industry_prior,1,107,11836,0.06501683501683504,0.18535353535353538,True,,,,,
A4_remove_hierarchical_pooling,1,107,11836,0.06501683501683504,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,108,11837,0.026127946127946194,0.20151515151515154,True,,,,,
